-2147483648,128,438,554883797,48,-2147483648,-2147483648
4056,128,438,1446000533,77,-2147483648,-2147483648
4086,128,439,548466198,44,-2147483648,14
3081,128,439,1456043926,35,-2147483648,5
-2147483648,128,439,767216950,35,54,12
3100,128,439,1495980982,35,-2147483648,2
-2147483648,128,439,1050248982,35,94,1
-2147483648,128,440,-2092927241,35,-2147483648,7
-2147483648,128,438,-826194828,-2147483648,-2147483648,7
-2147483648,128,438,1253835409,-2147483648,-2147483648,19
-2147483648,128,438,170876564,-2147483648,-2147483648,-2147483648
-2147483648,128,438,1196577107,-2147483648,48,13
-2147483648,95,334,-1715115386,56,89,-2147483648
2032,25,324,1177278018,53,-2147483648,-2147483648
-2147483648,25,196,-1038751299,46,-2147483648,-2147483648
-2147483648,27,198,-149829328,35,94,15
-2147483648,27,434,660968977,35,90,14
2208,27,198,567134460,35,-2147483648,13
-2147483648,27,434,-336102415,35,-2147483648,-2147483648
5224,27,436,-611445325,35,-2147483648,-2147483648
-2147483648,27,435,685389778,35,-2147483648,1
-2147483648,27,436,-837384781,35,-2147483648,-2147483648
5222,27,198,1095127051,35,-2147483648,19
-2147483648,27,198,-1503139056,35,-2147483648,-2147483648
4089,27,434,376374257,35,-2147483648,4
-2147483648,27,434,150434801,35,-2147483648,-2147483648
2204,27,437,2054934804,35,-2147483648,-2147483648
-2147483648,128,439,1666737814,35,-2147483648,-2147483648
-2147483648,128,439,-1509957866,35,-2147483648,7
4074,25,196,1214079413,86,22,2
-2147483648,-2147483648,-2147483648,1155137589,-2147483648,62,-2147483648
-2147483648,-2147483648,-2147483648,-1587345974,-2147483648,-2147483648,-2147483648
-2147483648,-2147483648,-2147483648,339864971,-2147483648,-2147483648,8
-2147483648,-2147483648,-2147483648,-614754156,-2147483648,-2147483648,-2147483648
-2147483648,66,344,-1484520866,118,-2147483648,0
-2147483648,66,344,2017066272,137,-2147483648,-2147483648
-2147483648,-2147483648,-2147483648,-764878795,-2147483648,-2147483648,-2147483648
4054,-2147483648,-2147483648,957776410,-2147483648,45,9
1403,-2147483648,-2147483648,203985499,-2147483648,-2147483648,-2147483648
3069,-2147483648,-2147483648,-809132899,-2147483648,33,-2147483648
-2147483648,-2147483648,-2147483648,-1422246578,-2147483648,77,19
-2147483648,-2147483648,-2147483648,311793138,-2147483648,81,3
2228,-2147483648,-2147483648,412568840,-2147483648,-2147483648,-2147483648
3212,-2147483648,-2147483648,1044222960,-2147483648,-2147483648,4
4100,-2147483648,-2147483648,-144036406,-2147483648,-2147483648,-2147483648
-2147483648,-2147483648,-2147483648,-1326469509,-2147483648,-2147483648,17
-2147483648,66,345,913976091,43,95,0
1403,66,345,840204545,111,19,17
5234,66,345,1755235225,93,-2147483648,-2147483648
-2147483648,66,345,-838257859,179,-2147483648,13
5089,66,346,1315556958,42,-2147483648,-2147483648
-2147483648,66,347,-1410769093,36,-2147483648,-2147483648
3074,66,345,-6316551,35,14,3
-2147483648,66,345,151703183,35,-2147483648,-2147483648
-2147483648,66,345,-1890433401,35,61,15
-2147483648,66,346,-708542822,35,77,-2147483648
-2147483648,66,346,1104862830,35,-2147483648,13
-2147483648,66,346,1053008954,35,-2147483648,9
3216,66,346,-426739608,35,-2147483648,8
6072,66,346,2077829866,35,19,9
-2147483648,66,347,981796307,35,-2147483648,-2147483648
4243,128,438,1697499637,35,22,15
5089,128,438,-1697946795,35,-2147483648,13
-2147483648,128,441,1861471128,35,-2147483648,-2147483648
2084,128,-2147483648,50,164,42,15
4028,128,-2147483648,53,50,-2147483648,-2147483648
-2147483648,128,-2147483648,54,47,-2147483648,12
-2147483648,25,-2147483648,50,154,-2147483648,0
4092,95,334,-1667014130,35,-2147483648,-2147483648
-2147483648,95,334,1551726996,35,-2147483648,12
2100,25,196,-528217153,58,43,-2147483648
-2147483648,128,443,71681210,35,-2147483648,-2147483648
4221,29,200,-1987586508,4,-2147483648,16
-2147483648,29,-2147483648,50,16,-2147483648,5
2064,26,331,-799656557,35,-2147483648,-2147483648
-2147483648,26,197,132587463,35,-2147483648,3
-2147483648,130,453,-217238891,35,-2147483648,-2147483648
-2147483648,66,345,1690362243,35,-2147483648,6
-2147483648,30,450,-1790003816,35,-2147483648,-2147483648
-2147483648,130,455,1810134423,35,-2147483648,-2147483648
-2147483648,25,195,88389510,35,-2147483648,-2147483648
1427,130,456,-659390760,35,-2147483648,-2147483648
3084,130,453,716644405,35,-2147483648,-2147483648
-2147483648,39,216,1053233104,-2147483648,-2147483648,-2147483648
-2147483648,31,204,1262505429,-2147483648,-2147483648,13
5011,144,505,-1855936289,-2147483648,-2147483648,9
-2147483648,144,505,-243645963,-2147483648,-2147483648,-2147483648
-2147483648,63,297,1640924904,-2147483648,-2147483648,-2147483648
1420,101,348,-731753553,-2147483648,-2147483648,4
2216,75,473,-223456242,-2147483648,-2147483648,-2147483648
4100,3,281,-1290063147,-2147483648,-2147483648,8
-2147483648,54,237,-1473846347,-2147483648,-2147483648,-2147483648
